"ID";"NOM_ETABLISSEMENT";"ECRANS";"FAUTEUILS";"CODE_COMMUNE";"COMMUNE";"GENRE"
12;"GEORGE V";11;1177;75108;"Paris 8e Arrondissement";"FIXE"
31;"UGC NORMANDIE";4;477;75108;"Paris 8e Arrondissement";"FIXE"
35;"BALZAC";3;377;75108;"Paris 8e Arrondissement";"FIXE"
54;"GAUMONT CHAMPS ELYSEES MARIGNAN";6;677;75108;"Paris 8e Arrondissement";"FIXE"
55;"ELYSEES LINCOLN";3;377;75108;"Paris 8e Arrondissement";"FIXE"
204;"UGC OPERA";4;477;75109;"Paris 9e Arrondissement";"FIXE"
214;"GAUMONT OPERA CAPUCINES";7;777;75109;"Paris 9e Arrondissement";"FIXE"
301;"MAX LINDER";1;177;75109;"Paris 9e Arrondissement";"FIXE"
311;"GRAND REX";7;777;75102;"Paris 2e Arrondissement";"FIXE"
321;"GAUMONT OPERA PREMIER";6;677;75102;"Paris 2e Arrondissement";"FIXE"
451;"UGC MONTPARNASSE";7;777;75106;"Paris 6e Arrondissement";"FIXE"
481;"GAUMONT PARNASSE";15;1577;75114;"Paris 14e Arrondissement";"FIXE"
483;"ENTREPOT";3;377;75114;"Paris 14e Arrondissement";"FIXE"
531;"MK2 BEAUBOURG";6;677;75103;"Paris 3e Arrondissement";"FIXE"
612;"UGC MAILLOT";4;477;75117;"Paris 17e Arrondissement";"FIXE"
721;"MK2 HAUTEFEUILLE";4;477;75106;"Paris 6e Arrondissement";"FIXE"
731;"MK2 ODEON";5;577;75106;"Paris 6e Arrondissement";"FIXE"
733;"STUDIO GALANDE";1;177;75105;"Paris 5e Arrondissement";"FIXE"
741;"LUXEMBOURG";3;377;75106;"Paris 6e Arrondissement";"FIXE"
751;"ST ANDRE DES ARTS";3;377;75106;"Paris 6e Arrondissement";"FIXE"
801;"MK2 PARNASSE";3;377;75106;"Paris 6e Arrondissement";"FIXE"
802;"UGC ROTONDE";3;377;75106;"Paris 6e Arrondissement";"FIXE"
803;"BRETAGNE";2;277;75106;"Paris 6e Arrondissement";"FIXE"
814;"LUCERNAIRE FORUM";3;377;75106;"Paris 6e Arrondissement";"FIXE"
821;"PARNASSIEN";7;777;75114;"Paris 14e Arrondissement";"FIXE"
883;"CHRISTINE 21";2;277;75106;"Paris 6e Arrondissement";"FIXE"
891;"ST GERMAIN DES PRES";1;177;75106;"Paris 6e Arrondissement";"FIXE"
1031;"PUBLICIS ELYSEES";2;277;75108;"Paris 8e Arrondissement";"FIXE"
1314;"LE BEVERLEY";1;177;75102;"Paris 2e Arrondissement";"FIXE"
1392;"L'ARCHIPEL";2;277;75110;"Paris 10e Arrondissement";"FIXE"
1393;"LE BRADY";2;277;75110;"Paris 10e Arrondissement";"FIXE"
1681;"UGC CINE CITE LES HALLES";27;2777;75101;"Paris 1er Arrondissement";"FIXE"
1791;"LUMINOR HOTEL DE VILLE";2;277;75104;"Paris 4e Arrondissement";"FIXE"
2251;"MAJESTIC PASSY";3;377;75116;"Paris 16e Arrondissement";"FIXE"
2543;"MAC MAHON";1;177;75117;"Paris 17e Arrondissement";"FIXE"
2982;"CAUMARTIN";5;577;75109;"Paris 9e Arrondissement";"FIXE"
3211;"LE CINEMA DES CINEASTES";3;377;75117;"Paris 17e Arrondissement";"FIXE"
3222;"PATHE WEPLER";12;1277;75118;"Paris 18e Arrondissement";"FIXE"
3741;"STUDIO 28";1;177;75118;"Paris 18e Arrondissement";"FIXE"
4713;"BORIS VIAN GRANDE HALLE";1;177;75119;"Paris 19e Arrondissement";"FIXE"
4731;"MK2 QUAI DE SEINE";6;677;75119;"Paris 19e Arrondissement";"FIXE"
5691;"MK2 GAMBETTA";6;677;75120;"Paris 20e Arrondissement";"FIXE"
5841;"MK2 BASTILLE (c<f4>t<e9> Fg St Antoine)";3;377;75111;"Paris 11e Arrondissement";"FIXE"
5852;"MAJESTIC BASTILLE";2;277;75111;"Paris 11e Arrondissement";"FIXE"
5861;"MK2 BASTILLE";4;477;75111;"Paris 11e Arrondissement";"FIXE"
6212;"MK2 NATION";6;677;75112;"Paris 12e Arrondissement";"FIXE"
6531;"UGC LYON BASTILLE";7;777;75112;"Paris 12e Arrondissement";"FIXE"
6611;"UGC CINE CITE BERCY";18;1877;75112;"Paris 12e Arrondissement";"FIXE"
7231;"CHAPLIN SAINT LAMBERT";3;377;75115;"Paris 15e Arrondissement";"FIXE"
7394;"GAUMONT CONVENTION";9;977;75115;"Paris 15e Arrondissement";"FIXE"
7491;"GAUMONT AQUABOULEVARD";14;1477;75115;"Paris 15e Arrondissement";"FIXE"
7711;"GAUMONT MONTPARNOS";4;477;75114;"Paris 14e Arrondissement";"FIXE"
8132;"GAUMONT ALESIA";8;877;75114;"Paris 14e Arrondissement";"FIXE"
8161;"CHAPLIN DENFERT";1;177;75114;"Paris 14e Arrondissement";"FIXE"
8291;"L ARLEQUIN PANORAMA";3;377;75106;"Paris 6e Arrondissement";"FIXE"
8331;"UGC DANTON";4;477;75106;"Paris 6e Arrondissement";"FIXE"
8341;"NOUVEL ODEON";1;177;75106;"Paris 6e Arrondissement";"FIXE"
8353;"UGC ODEON";5;577;75106;"Paris 6e Arrondissement";"FIXE"
8361;"ESPACE SAINT MICHEL";2;277;75105;"Paris 5e Arrondissement";"FIXE"
8374;"ECOLES 21";2;277;75105;"Paris 5e Arrondissement";"FIXE"
8391;"LE CINEMA DU PANTHEON";1;177;75105;"Paris 5e Arrondissement";"FIXE"
8392;"STUDIO LUXEMBOURG ACCATTONE";1;177;75105;"Paris 5e Arrondissement";"FIXE"
8422;"LE CHAMPO";2;277;75105;"Paris 5e Arrondissement";"FIXE"
8425;"QUARTIER LATIN I";2;277;75105;"Paris 5e Arrondissement";"FIXE"
8451;"STUDIO DES URSULINES";1;177;75105;"Paris 5e Arrondissement";"FIXE"
8513;"REFLET MEDICIS 2";3;377;75105;"Paris 5e Arrondissement";"FIXE"
8514;"EPEE DE BOIS";2;277;75105;"Paris 5e Arrondissement";"FIXE"
8531;"LE GRAND ACTION";2;277;75105;"Paris 5e Arrondissement";"FIXE"
8621;"LES FAUVETTES";5;577;75113;"Paris 13e Arrondissement";"FIXE"
8632;"UGC  GOBELINS";11;1177;75113;"Paris 13e Arrondissement";"FIXE"
8661;"ESCURIAL";2;277;75113;"Paris 13e Arrondissement";"FIXE"
9351;"MK2 GRAND PALAIS";1;177;75108;"Paris 8e Arrondissement";"FIXE"
9452;"LE LOUXOR";3;377;75110;"Paris 10e Arrondissement";"FIXE"
9600;"MK2 BIBLIOTHEQUE";16;1677;75113;"Paris 13e Arrondissement";"FIXE"
9616;"MK2 A&E";4;477;75113;"Paris 13e Arrondissement";"FIXE"
9700;"PATHE BEAUGRENELLE";10;1077;75115;"Paris 15e Arrondissement";"FIXE"
9802;"CLUB DE L ETOILE";1;177;75117;"Paris 17e Arrondissement";"FIXE"
9803;"LES 7 BATIGNOLLES CINEMOVIDA";7;777;75117;"Paris 17e Arrondissement";"FIXE"
9900;"MK2 QUAI DE LOIRE";6;677;75119;"Paris 19e Arrondissement";"FIXE"
9906;"UGC CINE CITE PARIS 19";14;1477;75119;"Paris 19e Arrondissement";"FIXE"
9920;"PATHE";16;1677;75119;"Paris 19e Arrondissement";"FIXE"
9950;"CGR PARIS LILAS";7;777;75120;"Paris 20e Arrondissement";"FIXE"
10992;"PANDORA";3;377;78005;"Ach<e8>res";"FIXE"
14693;"LE POLE CULTUREL";1;177;94002;"Alfortville";"FIXE"
20931;"LE SELECT";4;477;92002;"Antony";"FIXE"
22634;"JEAN VILAR";2;277;94003;"Arcueil";"FIXE"
22636;"MEGARAMA";6;677;94003;"Arcueil";"FIXE"
23301;"JEAN GABIN";1;177;95018;"Argenteuil";"FIXE"
23323;"LE FIGUIER BLANC";3;377;95018;"Argenteuil";"FIXE"
24753;"STARS";5;577;91021;"Arpajon";"FIXE"
26662;"L ALCAZAR";4;477;92004;"Asni<e8>res-sur-Seine";"FIXE"
27573;"CINEMA VENTURA";1;177;91027;"Athis-Mons";"FIXE"
28113;"PAUL GRIMAULT";1;177;78029;"Aubergenville";"FIXE"
28264;"STUDIO";1;177;93001;"Aubervilliers";"FIXE"
30164;"THEATRE ET CINEMA JACQUES PREVERT";2;277;93005;"Aulnay-sous-Bois";"FIXE"
30184;"UGC CINE CITE O'PARINOR";14;1477;93005;"Aulnay-sous-Bois";"FIXE"
35953;"THEATRE VICTOR HUGO";1;177;92007;"Bagneux";"FIXE"
36013;"LE CIN'HOCHE";2;277;93006;"Bagnolet";"FIXE"
37350;"CINE TOILE";1;177;91045;"Ballancourt-sur-Essonne";"FIXE"
45132;"BEAUMONT PALACE";1;177;95052;"Beaumont-sur-Oise";"FIXE"
54292;"LA BARBACANE";1;177;78062;"Beynes";"FIXE"
54692;"THEATRE PAUL ELUARD";2;277;95063;"Bezons";"FIXE"
57582;"CINEMA LOUIS DAQUIN";3;377;93007;"Le Blanc-Mesnil";"FIXE"
59031;"MAGIC CINEMA";2;277;93008;"Bobigny";"FIXE"
59033;"AUDITORIUM BOURSE TRAVAIL";1;177;93008;"Bobigny";"ITINERANT"
59604;"JEAN RENOIR";1;177;92009;"Bois-Colombes";"FIXE"
59690;"LA GRANGE DE LA TREMBLAYE";1;177;78073;"Bois-d'Arcy";"FIXE"
60942;"LE FORUM";1;177;94004;"Boissy-Saint-L<e9>ger";"FIXE"
61504;"SALLE ANDRE MALRAUX";1;177;93010;"Bondy";"FIXE"
62121;"GERARD PHILIPE";1;177;94011;"Bonneuil-sur-Marne";"FIXE"
66835;"CINEMA LANDOWSKI";1;177;92012;"Boulogne-Billancourt";"FIXE"
66923;"PATHE";7;777;92012;"Boulogne-Billancourt";"FIXE"
68114;"LE CINEMA";1;177;93013;"Le Bourget";"FIXE"
68212;"AUDITORIUM DU CONSERVATOIRE";1;177;92014;"Bourg-la-Reine";"FIXE"
69641;"BUXY";5;577;91097;"Boussy-Saint-Antoine";"FIXE"
71901;"LE RENAISSANCE";1;177;77051;"Bray-sur-Seine";"FIXE"
73423;"JEAN COCTEAU";2;277;91103;"Br<e9>tigny-sur-Orge";"FIXE"
74662;"LES 4 VENTS";1;177;77053;"Brie-Comte-Robert";"FIXE"
81101;"LA PLEIADE";3;377;94016;"Cachan";"FIXE"
91492;"CINEMA DU THEATRE";1;177;78126;"La Celle-Saint-Cloud";"FIXE"
92329;"UGC CINE CITE";14;1477;95127;"Cergy";"FIXE"
96533;"JEAN GABIN";1;177;77079;"Champagne-sur-Seine";"FIXE"
97431;"STUDIO 66";5;577;94017;"Champigny-sur-Marne";"FIXE"
105652;"REX";2;277;92019;"Ch<e2>tenay-Malabry";"FIXE"
106031;"CINEMA";1;132;92020;"Ch<e2>tillon";"FIXE"
106262;"LOUIS JOUVET";2;277;78146;"Chatou";"FIXE"
108192;"ATRIUM";1;177;92022;"Chaville";"FIXE"
108774;"COSMOS";2;277;77108;"Chelles";"FIXE"
110351;"GAUMONT DISNEY VILLAGE";15;1577;77111;"Chessy";"FIXE"
110372;"STUDIO 31";2;277;77111;"Chessy";"FIXE"
110761;"SALLE ANDRE MALRAUX";1;177;94021;"Chevilly-Larue";"FIXE"
111583;"FRANCOIS TRUFFAUT";2;277;91161;"Chilly-Mazarin";"FIXE"
112014;"SALLE PAUL ELUARD";1;177;94022;"Choisy-le-Roi";"FIXE"
113523;"CINEMA JEANNE MOREAU";1;177;92023;"Clamart";"FIXE"
114032;"ESPACE PHILIPPE NOIRET (EX-CINEMA HENRI LANGLOIS)";2;277;78165;"Les Clayes-sous-Bois";"FIXE"
115104;"CINEMA RUTEBEUF";1;177;92024;"Clichy";"FIXE"
117025;"M J C THEATRE DE COLOMBES";1;177;92025;"Colombes";"FIXE"
117051;"L'HELIOS";4;477;92025;"Colombes";"FIXE"
117921;"LA COUPOLE";1;177;77122;"Combs-la-Ville";"FIXE"
119305;"PATHE";13;1377;78172;"Conflans-Sainte-Honorine";"FIXE"
120293;"ARCEL";3;377;91174;"Corbeil-Essonnes";"FIXE"
