ID;ECRANS 3D
12;OUI
31;OUI
35;OUI
54;OUI
55;NON
204;NON
214;OUI
301;NON
311;OUI
321;NON
451;OUI
481;OUI
483;NON
531;OUI
612;NON
721;OUI
731;OUI
733;NON
741;NON
751;NON
801;OUI
802;NON
803;OUI
814;NON
821;OUI
883;NON
891;NON
1031;NON
1314;NON
1392;NON
1393;NON
1681;OUI
1791;NON
2251;OUI
2543;OUI
2982;NON
3211;OUI
3222;OUI
3741;NON
4713;NON
4731;OUI
5691;OUI
5841;NON
5852;NON
5861;OUI
6212;NON
6531;OUI
6611;OUI
7231;OUI
7394;OUI
7491;OUI
7711;NON
8132;OUI
8161;NON
8291;NON
8331;OUI
8341;NON
8353;NON
8361;NON
8374;NON
8391;NON
8392;NON
8422;NON
8425;NON
8451;NON
8513;NON
8514;OUI
8531;NON
8621;OUI
8632;OUI
8661;NON
9351;NON
9452;NON
9600;OUI
9616;OUI
9700;OUI
9802;OUI
9803;NON
9900;OUI
9906;OUI
9920;OUI
9950;OUI
10992;OUI
14693;NON
20931;OUI
22634;OUI
22636;OUI
23301;NON
23323;OUI
24753;OUI
26662;OUI
27573;OUI
28113;OUI
28264;NON
30164;OUI
30184;OUI
35953;NON
36013;NON
37350;OUI
45132;NON
54292;NON
54692;NON
57582;OUI
59031;NON
59033;NON
59604;OUI
59690;NON
60942;OUI
61504;OUI
62121;NON
66835;OUI
66923;OUI
68114;NON
68212;NON
69641;OUI
71901;OUI
73423;OUI
74662;OUI
81101;OUI
91492;NON
92329;OUI
96533;NON
97431;NON
105652;OUI
106031;OUI
106262;OUI
108192;OUI
108774;OUI
110351;OUI
110372;NON
110761;NON
111583;NON
112014;OUI
113523;OUI
114032;OUI
115104;OUI
117025;NON
117051;NON
117921;OUI
119305;OUI
120293;OUI
120963;NON
123373;OUI
123905;NON
123914;OUI
125135;OUI
128535;NON
128541;OUI
133212;OUI
140521;OUI
142171;NON
142752;NON
144262;NON
146371;OUI
147071;OUI
147084;OUI
148321;NON
148324;OUI
149335;NON
152882;OUI
152884;NON
154488;OUI
162844;OUI
162853;NON
163962;OUI
164022;NON
164112;NON
166051;NON
168193;NON
172043;OUI
172914;NON
173332;NON
175513;OUI
177201;OUI
179852;OUI
181553;NON
193442;NON
