Pays;Newpapers;Magazines;TV;Radio;Cinema;OutdoorTransport
BEL;35,3;20,5;27,5;1,2;1,4;14,2
DK;76,1;11,8;9,6;0,8;0,4;1,3
FR;28,6;27,5;24,8;6,6;0,8;11,7
AL;46;27,9;15,8;5,1;1,2;3,9
GR;26;28,2;35,3;5,7;0;4,8
IR;63,7;5,4;19,6;6,2;0;5,1
IT;27,8;24;43,02;1,4;0;3,6
NE;50,4;27,8;9;2,2;0,3;10,4
POR;25,1;21,7;37,1;6,7;0;9,5
ESP;37,6;15,4;31,3;10,3;0,8;4,7
UK;44,1;19,3;30,5;2,2;0,5;3,4
AUT;51,6;18;17,7;8;0,4;4,4
FIN;67,2;13,5;12,9;4;0,1;2,3
NOR;77,2;15,8;2,5;1;1,2;2,2
SUE;78,6;14,3;2,2;0;0,6;4,3
SUI;61,1;16,8;6,7;1,7;0,9;12,7
